Organism,ToL ID,INSDC ID,Common Name,Current status,External references
Adalia bipunctata,"icAdaBipu7, icAdaBipu8, icAdaBipu9, icAdaBipu10, icAdaBipu11, icAdaBipu12, icAdaBipu13, icAdaBipu14, icAdaBipu15, icAdaBipu16, icAdaBipu17, icAdaBipu18, icAdaBipu19, icAdaBipu20, icAdaBipu21, icAdaBipu22, icAdaBipu23, icAdaBipu24, icAdaBipu25, icAdaBipu26, icAdaBipu27, icAdaBipu28, icAdaBipu29, icAdaBipu30, icAdaBipu31, icAdaBipu32, icAdaBipu33, icAdaBipu34, icAdaBipu35, icAdaBipu36, icAdaBipu37, icAdaBipu38, icAdaBipu39, icAdaBipu40, icAdaBipu41, icAdaBipu42, icAdaBipu43, icAdaBipu44, icAdaBipu45, icAdaBipu46, icAdaBipu47, icAdaBipu48, icAdaBipu49, icAdaBipu50, icAdaBipu51, icAdaBipu52, icAdaBipu53, icAdaBipu54, icAdaBipu55, icAdaBipu56, icAdaBipu57, icAdaBipu58, icAdaBipu59, icAdaBipu60, icAdaBipu61, icAdaBipu62, icAdaBipu63, icAdaBipu64, icAdaBipu65, icAdaBipu66, icAdaBipu67, icAdaBipu68, icAdaBipu69, icAdaBipu70, icAdaBipu71, icAdaBipu72, icAdaBipu73, icAdaBipu74, icAdaBipu75, icAdaBipu76, icAdaBipu77, icAdaBipu78, icAdaBipu79, icAdaBipu80, icAdaBipu81, icAdaBipu82, icAdaBipu83, icAdaBipu84, icAdaBipu85, icAdaBipu86, icAdaBipu87, icAdaBipu88, icAdaBipu89, icAdaBipu90, icAdaBipu91, icAdaBipu92, icAdaBipu93, icAdaBipu94, icAdaBipu95, icAdaBipu96, icAdaBipu97, icAdaBipu98, icAdaBipu99, icAdaBipu100, icAdaBipu101, icAdaBipu102, icAdaBipu1",PRJEB45109,two-spotted ladybird beetle,Annotation Complete,https://goat.genomehubs.org/records?record_id=7084&result=taxon&taxonomy=ncbi#Adalia bipunctata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Adalia-bipunctata;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20637/5f580c67-5867-43ae-b0fa-3158f7eaaa6d_18610%20-%20Tree%20of%20Life%20Team%20Sanger.html
Eristalinus sepulchralis,"idEriSepu1, idEriSepu2",PRJEB53502,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=2725509&result=taxon&taxonomy=ncbi#Eristalinus sepulchralis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Eristalinus-sepulchralis;
Tachina fera,"idTacFera3, idTacFera4, idTacFera1, idTacFera2",PRJEB42932,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=631328&result=taxon&taxonomy=ncbi#Tachina fera;https://tolqc.cog.sanger.ac.uk/darwin/insects/Tachina-fera;https://wellcomeopenresearch.org/articles/7-103/v1
Mythimna impura,ilMytImpu1,PRJEB42100,Smoky Wainscot,Annotation Complete,https://goat.genomehubs.org/records?record_id=987985&result=taxon&taxonomy=ncbi#Mythimna impura;https://tolqc.cog.sanger.ac.uk/darwin/insects/Mythimna-impura;https://wellcomeopenresearch.org/articles/7-226/v1
Andrena hattorfiana,iyAndHatt1,PRJEB52206,Large Scabious Mining Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=1126402&result=taxon&taxonomy=ncbi#Andrena hattorfiana;https://tolqc.cog.sanger.ac.uk/darwin/insects/Andrena-hattorfiana;
Ypsolopha scabrella,"ilYpsScab2, ilYpsScab1",PRJEB45147,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1870435&result=taxon&taxonomy=ncbi#Ypsolopha scabrella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ypsolopha-scabrella;
Mimas tiliae,ilMimTili1,PRJEB43525,Lime Hawk-moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=522848&result=taxon&taxonomy=ncbi#Mimas tiliae;https://tolqc.cog.sanger.ac.uk/darwin/insects/Mimas-tiliae;https://wellcomeopenresearch.org/articles/6-357/v1
Carcina quercana,"ilCarQuer2, ilCarQuer1",PRJEB45114,Long-horned Flat-body,Annotation Complete,https://goat.genomehubs.org/records?record_id=116121&result=taxon&taxonomy=ncbi#Carcina quercana;https://tolqc.cog.sanger.ac.uk/darwin/insects/Carcina-quercana;https://wellcomeopenresearch.org/articles/8-16/v1
Mythimna ferrago,"ilMytFerr1, ilMytFerr2",PRJEB45141,Clay,Annotation Complete,https://goat.genomehubs.org/records?record_id=997540&result=taxon&taxonomy=ncbi#Mythimna ferrago;https://tolqc.cog.sanger.ac.uk/darwin/insects/Mythimna-ferrago;https://wellcomeopenresearch.org/articles/7-177/v1
Lysandra bellargus,"ilLysBell2, ilLysBell3, ilLysBell1",PRJEB43523,Adonis blue,Annotation Complete,https://goat.genomehubs.org/records?record_id=138070&result=taxon&taxonomy=ncbi#Lysandra bellargus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Lysandra-bellargus;https://wellcomeopenresearch.org/articles/7-255/v1
Parapoynx stratiotata,"ilParStra3, ilParStra2, ilParStra1",PRJEB45111,Ringed China-mark,Annotation Complete,https://goat.genomehubs.org/records?record_id=1594321&result=taxon&taxonomy=ncbi#Parapoynx stratiotata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Parapoynx-stratiotata;https://wellcomeopenresearch.org/articles/7-121/v1
Ectemnius continuus,iyEctCont1,PRJEB45146,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1126389&result=taxon&taxonomy=ncbi#Ectemnius continuus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ectemnius-continuus;
Nowickia ferox,"idNowFero1, idNowFero2",PRJEB50971,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=613196&result=taxon&taxonomy=ncbi#Nowickia ferox;https://tolqc.cog.sanger.ac.uk/darwin/insects/Nowickia-ferox;
Ichneumon xanthorius,iyIchXant1,PRJEB46291,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=2795680&result=taxon&taxonomy=ncbi#Ichneumon xanthorius;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ichneumon-xanthorius;https://wellcomeopenresearch.org/articles/7-47/v1
Syritta pipiens,"idSyrPipi3, idSyrPipi2, idSyrPipi1, idSyrPipi4, idSyrPipi5, idSyrPipi6, idSyrPipi7, idSyrPipi8, idSyrPipi9, idSyrPipi10, idSyrPipi11",PRJEB42079,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=34682&result=taxon&taxonomy=ncbi#Syritta pipiens;https://tolqc.cog.sanger.ac.uk/darwin/insects/Syritta-pipiens;
Phlogophora meticulosa,"ilPhlMeti1, ilPhlMeti2",PRJEB42108,Angle Shades,Annotation Complete,https://goat.genomehubs.org/records?record_id=875884&result=taxon&taxonomy=ncbi#Phlogophora meticulosa;https://tolqc.cog.sanger.ac.uk/darwin/insects/Phlogophora-meticulosa;https://wellcomeopenresearch.org/articles/7-89/v1
Lineus longissimus,tnLinLong1,PRJEB45148,Bootlace Worm,Annotation Complete,https://goat.genomehubs.org/records?record_id=88925&result=taxon&taxonomy=ncbi#Lineus longissimus;https://tolqc.cog.sanger.ac.uk/darwin/other-animal-phyla/Lineus-longissimus;https://wellcomeopenresearch.org/articles/6-272/v1
Pararge aegeria,"ilParAegt2, ilParAegt3, ilParAegt1",PRJEB42106,specked wood butterfly,Annotation Complete,https://goat.genomehubs.org/records?record_id=116150&result=taxon&taxonomy=ncbi#Pararge aegeria;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pararge-aegeria;https://wellcomeopenresearch.org/articles/6-287/v1
Notodonta dromedarius,ilNotDrom1,PRJEB42102,Iron Prominent,Annotation Complete,https://goat.genomehubs.org/records?record_id=753204&result=taxon&taxonomy=ncbi#Notodonta dromedarius;https://tolqc.cog.sanger.ac.uk/darwin/insects/Notodonta-dromedarius;https://wellcomeopenresearch.org/articles/6-341/v1
Endotricha flammealis,"ilEndFlam2, ilEndFlam1",PRJEB42090,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1101095&result=taxon&taxonomy=ncbi#Endotricha flammealis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Endotricha-flammealis;
Atethmia centrago,"ilAteCent2, ilAteCent1",PRJEB43520,Centre-barred Sallow,Annotation Complete,https://goat.genomehubs.org/records?record_id=988071&result=taxon&taxonomy=ncbi#Atethmia centrago;https://tolqc.cog.sanger.ac.uk/darwin/insects/Atethmia-centrago;
Pterostichus madidus,"icPteMadi2, icPteMadi3, icPteMadi1",PRJEB45155,Black Clock,Annotation Complete,https://goat.genomehubs.org/records?record_id=767470&result=taxon&taxonomy=ncbi#Pterostichus madidus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pterostichus-madidus;https://wellcomeopenresearch.org/articles/6-301/v1
Plutella xylostella,"ilPluXylo1, ilPluXylo2, ilPluXylo4, ilPluXylo3",PRJEB48395,diamondback moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=51655&result=taxon&taxonomy=ncbi#Plutella xylostella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Plutella-xylostella;
Glaucopsyche alexis,ilGlaAlex1,PRJEB43781,green-underside blue,Annotation Complete,https://goat.genomehubs.org/records?record_id=203781&result=taxon&taxonomy=ncbi#Glaucopsyche alexis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Glaucopsyche-alexis;https://wellcomeopenresearch.org/articles/6-274/v1
Ptilodon capucinus,ilPtiCapc1,PRJEB46268,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=987449&result=taxon&taxonomy=ncbi#Ptilodon capucinus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ptilodon-capucinus;
Ennomos fuscantarius,"ilEnnFusc1, ilEnnFusc2",PRJEB42937,dusky thorn,Annotation Complete,https://goat.genomehubs.org/records?record_id=722662&result=taxon&taxonomy=ncbi#Ennomos fuscantarius;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ennomos-fuscantarius;
Seladonia tumulorum,"iySelTumu2, iySelTumu1, iySelTumu3, iySelTumu4",PRJEB45664,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=115100&result=taxon&taxonomy=ncbi#Seladonia tumulorum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Seladonia-tumulorum;https://wellcomeopenresearch.org/articles/7-105/v1
Nymphalis urticae,"ilAglUrti3, ilAglUrti2, ilAglUrti1",PRJEB42076,small tortoiseshell,Annotation Complete,https://goat.genomehubs.org/records?record_id=111881&result=taxon&taxonomy=ncbi#Nymphalis urticae;https://tolqc.cog.sanger.ac.uk/darwin/insects/Nymphalis-urticae;https://wellcomeopenresearch.org/articles/6-233/v1
Ennomos quercinarius,ilEnnQuei1,PRJEB45099,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=875883&result=taxon&taxonomy=ncbi#Ennomos quercinarius;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ennomos-quercinarius;
Spilarctia lutea,ilSpiLutu1,PRJEB46270,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=875881&result=taxon&taxonomy=ncbi#Spilarctia lutea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Spilarctia-lutea;
Eilema depressum,ilEilDepe1,PRJEB46269,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=987419&result=taxon&taxonomy=ncbi#Eilema depressum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Eilema-depressum;
Nebria salina,icNebSali1,PRJEB45144,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=878211&result=taxon&taxonomy=ncbi#Nebria salina;https://tolqc.cog.sanger.ac.uk/darwin/insects/Nebria-salina;
Stomorhina lunata,idStoLuna1,PRJEB50869,Locust Blowfly,Annotation Complete,https://goat.genomehubs.org/records?record_id=1606781&result=taxon&taxonomy=ncbi#Stomorhina lunata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Stomorhina-lunata;
Limnephilus rhombicus,iiLimRhom1,PRJEB49538,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=692089&result=taxon&taxonomy=ncbi#Limnephilus rhombicus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Limnephilus-rhombicus;
Melolontha melolontha,icMelMelo1,PRJEB50970,cockchafer,Annotation Complete,https://goat.genomehubs.org/records?record_id=7061&result=taxon&taxonomy=ncbi#Melolontha melolontha;https://tolqc.cog.sanger.ac.uk/darwin/insects/Melolontha-melolontha;
Meles meles,"mMelMel1, mMelMel2, mMelMel3",PRJEB46293,Eurasian badger,Annotation Complete,https://goat.genomehubs.org/records?record_id=9662&result=taxon&taxonomy=ncbi#Meles meles;https://tolqc.cog.sanger.ac.uk/darwin/mammals/Meles-meles;https://wellcomeopenresearch.org/articles/7-239/v1
Pemphredon lugubris,iyPemLugu1,PRJEB50712,Mournful Wasp,Annotation Complete,https://goat.genomehubs.org/records?record_id=2495172&result=taxon&taxonomy=ncbi#Pemphredon lugubris;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pemphredon-lugubris;
Lasioglossum pauxillum,"iyLasPaux2, iyLasPaux3, iyLasPaux1",PRJEB51029,Lobe-spurred Furrow Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=88516&result=taxon&taxonomy=ncbi#Lasioglossum pauxillum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Lasioglossum-pauxillum;
Aplocera efformata,ilAplEffo1,PRJEB47309,Lesser Treble-bar,Annotation Complete,https://goat.genomehubs.org/records?record_id=934917&result=taxon&taxonomy=ncbi#Aplocera efformata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Aplocera-efformata;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20620/20030975-e8ae-4831-ae47-572b7e545f47_18595%20-%20Tree%20of%20Life%20Team%20Sanger.html
Macropis europaea,iyMacEuro1,PRJEB46274,Yellow Loosestrife Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=253715&result=taxon&taxonomy=ncbi#Macropis europaea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Macropis-europaea;https://wellcomeopenresearch.org/articles/7-110/v1
Carterocephalus palaemon,"ilCarPala1, ilCarPala2",PRJEB52798,Arctic skipper,Annotation Complete,https://goat.genomehubs.org/records?record_id=218720&result=taxon&taxonomy=ncbi#Carterocephalus palaemon;https://tolqc.cog.sanger.ac.uk/darwin/insects/Carterocephalus-palaemon;
Phalera bucephala,"ilPhaBuce2, ilPhaBuce1",PRJEB42107,Buff-tip,Annotation Complete,https://goat.genomehubs.org/records?record_id=753216&result=taxon&taxonomy=ncbi#Phalera bucephala;https://tolqc.cog.sanger.ac.uk/darwin/insects/Phalera-bucephala;https://wellcomeopenresearch.org/articles/7-28/v1
Tenthredo notha,iyTenNoth1,PRJEB46266,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=362091&result=taxon&taxonomy=ncbi#Tenthredo notha;https://tolqc.cog.sanger.ac.uk/darwin/insects/Tenthredo-notha;https://wellcomeopenresearch.org/articles/7-120/v1
Mesoligia furuncula,"ilMesFuru3, ilMesFuru2, ilMesFuru1",PRJEB46288,Cloaked Minor,Annotation Complete,https://goat.genomehubs.org/records?record_id=997551&result=taxon&taxonomy=ncbi#Mesoligia furuncula;https://tolqc.cog.sanger.ac.uk/darwin/insects/Mesoligia-furuncula;
Xestia xanthographa,"ilXesXant2, ilXesXant1",PRJEB42065,Square-spot Rustic,Annotation Complete,https://goat.genomehubs.org/records?record_id=988049&result=taxon&taxonomy=ncbi#Xestia xanthographa;https://tolqc.cog.sanger.ac.uk/darwin/insects/Xestia-xanthographa;https://wellcomeopenresearch.org/articles/7-37/v1
Eristalis tenax,"idEriTena4, idEriTena5, idEriTena6, idEriTena7, idEriTena8, idEriTena1, idEriTena3, idEriTena2",PRJEB43028,drone fly,Annotation Complete,https://goat.genomehubs.org/records?record_id=198635&result=taxon&taxonomy=ncbi#Eristalis tenax;https://tolqc.cog.sanger.ac.uk/darwin/insects/Eristalis-tenax;https://wellcomeopenresearch.org/articles/6-307/v1
Ophonus ardosiacus,icOphArdo1,PRJEB52572,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=247415&result=taxon&taxonomy=ncbi#Ophonus ardosiacus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ophonus-ardosiacus;
Patella vulgata,xgPatVulg1,PRJEB50713,common limpet,Annotation Complete,https://goat.genomehubs.org/records?record_id=6465&result=taxon&taxonomy=ncbi#Patella vulgata;https://tolqc.cog.sanger.ac.uk/darwin/molluscs/Patella-vulgata;
Noctua janthe,ilNocJant1,PRJEB45107,Lesser Broad-bordered Yellow Underwing,Annotation Complete,https://goat.genomehubs.org/records?record_id=987995&result=taxon&taxonomy=ncbi#Noctua janthe;https://tolqc.cog.sanger.ac.uk/darwin/insects/Noctua-janthe;
Synanthedon myopaeformis,ilSynMyop1,PRJEB53609,Red-belted Clearwing,Annotation Complete,https://goat.genomehubs.org/records?record_id=1108570&result=taxon&taxonomy=ncbi#Synanthedon myopaeformis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Synanthedon-myopaeformis;
Gymnoscelis rufifasciata,"ilGymRufi2, ilGymRufi1",PRJEB48373,Double-striped Pug,Annotation Complete,https://goat.genomehubs.org/records?record_id=934940&result=taxon&taxonomy=ncbi#Gymnoscelis rufifasciata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Gymnoscelis-rufifasciata;https://wellcomeopenresearch.org/articles/7-135/v1
Notocelia uddmanniana,"ilNotUddm2, ilNotUddm1",PRJEB42103,Bramble Shoot Moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=1594315&result=taxon&taxonomy=ncbi#Notocelia uddmanniana;https://tolqc.cog.sanger.ac.uk/darwin/insects/Notocelia-uddmanniana;https://wellcomeopenresearch.org/articles/6-348/v1
Malachius bipustulatus,icMalBipu1,PRJEB45103,Malachite Beetle,Annotation Complete,https://goat.genomehubs.org/records?record_id=295700&result=taxon&taxonomy=ncbi#Malachius bipustulatus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Malachius-bipustulatus;https://wellcomeopenresearch.org/articles/6-322/v1
Mamestra brassicae,"ilMamBras2, ilMamBras5, ilMamBras4, ilMamBras3, ilMamBras1",PRJEB42099,cabbage moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=55057&result=taxon&taxonomy=ncbi#Mamestra brassicae;https://tolqc.cog.sanger.ac.uk/darwin/insects/Mamestra-brassicae;
Aporophyla lueneburgensis,ilApoLuen1,PRJEB50716,Northern Deep-brown Dart,Annotation Complete,https://goat.genomehubs.org/records?record_id=1337163&result=taxon&taxonomy=ncbi#Aporophyla lueneburgensis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Aporophyla-lueneburgensis;
Operophtera brumata,"ilOpeBrum3, ilOpeBrum4, ilOpeBrum2, ilOpeBrum1",PRJEB50726,winter moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=104452&result=taxon&taxonomy=ncbi#Operophtera brumata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Operophtera-brumata;
Orgyia antiqua,"ilOrgAnti2, ilOrgAnti1",PRJEB47376,rusty tussock moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=335469&result=taxon&taxonomy=ncbi#Orgyia antiqua;https://tolqc.cog.sanger.ac.uk/darwin/insects/Orgyia-antiqua;
Agrypnus murinus,"icAgrMuri2, icAgrMuri3, icAgrMuri4, icAgrMuri5, icAgrMuri1",PRJEB46257,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=195168&result=taxon&taxonomy=ncbi#Agrypnus murinus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Agrypnus-murinus;
Coremacera marginata,"idCorMarg3, idCorMarg2, idCorMarg4, idCorMarg1, idCorMarg5",PRJEB45151,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1226616&result=taxon&taxonomy=ncbi#Coremacera marginata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Coremacera-marginata;https://wellcomeopenresearch.org/articles/6-338/v1
Pieris napi,"ilPieNapi5, ilPieNapi6, ilPieNapi3, ilPieNapi7, ilPieNapi8, ilPieNapi9, ilPieNapi2, ilPieNapi4, ilPieNapi1",PRJEB43030,Green-veined White,Annotation Complete,https://goat.genomehubs.org/records?record_id=78633&result=taxon&taxonomy=ncbi#Pieris napi;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pieris-napi;https://wellcomeopenresearch.org/articles/6-288/v1
Cyaniris semiargus,ilCyaSemi1,PRJEB42089,Mazarine Blue,Annotation Complete,https://goat.genomehubs.org/records?record_id=988025&result=taxon&taxonomy=ncbi#Cyaniris semiargus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Cyaniris-semiargus;
Calamotropha paludella,"ilCalPalu2, ilCalPalu1",PRJEB47462,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1371681&result=taxon&taxonomy=ncbi#Calamotropha paludella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Calamotropha-paludella;
Cantharis rustica,"icCanRust2, icCanRust3, icCanRust1",PRJEB45153,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=195172&result=taxon&taxonomy=ncbi#Cantharis rustica;https://tolqc.cog.sanger.ac.uk/darwin/insects/Cantharis-rustica;https://wellcomeopenresearch.org/articles/6-325/v1
Nebria brevicollis,"icNebBrev3, icNebBrev1, icNebBrev2",PRJEB49038,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=110024&result=taxon&taxonomy=ncbi#Nebria brevicollis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Nebria-brevicollis;https://wellcomeopenresearch.org/articles/8-20/v1
Limnephilus lunatus,"iiLimLuna3, iiLimLuna4, iiLimLuna5, iiLimLuna6, iiLimLuna7, iiLimLuna1, iiLimLuna2, iiLimLuna8",PRJEB46271,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1218281&result=taxon&taxonomy=ncbi#Limnephilus lunatus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Limnephilus-lunatus;https://wellcomeopenresearch.org/articles/8-25/v1
Limnephilus marmoratus,"iiLimMarm3, iiLimMarm2, iiLimMarm1",PRJEB46272,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1271730&result=taxon&taxonomy=ncbi#Limnephilus marmoratus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Limnephilus-marmoratus;https://wellcomeopenresearch.org/articles/8-64/v1
Polyommatus icarus,"ilPolIcar1, ilPolIcar2",PRJEB51265,common blue,Annotation Complete,https://goat.genomehubs.org/records?record_id=265386&result=taxon&taxonomy=ncbi#Polyommatus icarus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Polyommatus-icarus;https://wellcomeopenresearch.org/articles/8-72/v1
Bombus hypnorum,"iyBomHypn2, iyBomHypn1",PRJEB45105,Tree Bumblebee,Annotation Complete,https://goat.genomehubs.org/records?record_id=30191&result=taxon&taxonomy=ncbi#Bombus hypnorum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Bombus-hypnorum;https://wellcomeopenresearch.org/articles/8-21/v1
Ochlodes sylvanus,"ilOchSylv1, ilOchSylv2, ilOchSylv4, ilOchSylv5, ilOchSylv3",PRJEB43786,Large Skipper,Annotation Complete,https://goat.genomehubs.org/records?record_id=876063&result=taxon&taxonomy=ncbi#Ochlodes sylvanus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ochlodes-sylvanus;https://wellcomeopenresearch.org/articles/8-75/v1
Pherbina coryleti,"idPheCory1, idPheCory2, idPheCory3",PRJEB52654,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1096077&result=taxon&taxonomy=ncbi#Pherbina coryleti;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pherbina-coryleti;https://wellcomeopenresearch.org/articles/8-30/v1
Gibbula magus,xgGibMagu1,PRJEB51158,Turban Top Shell,Annotation Complete,https://goat.genomehubs.org/records?record_id=703304&result=taxon&taxonomy=ncbi#Gibbula magus;https://tolqc.cog.sanger.ac.uk/darwin/molluscs/Gibbula-magus;https://wellcomeopenresearch.org/articles/8-35/v1
Xanthogramma pedissequum,"idXanPedi4, idXanPedi3, idXanPedi2, idXanPedi1",PRJEB45137,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=414876&result=taxon&taxonomy=ncbi#Xanthogramma pedissequum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Xanthogramma-pedissequum;https://wellcomeopenresearch.org/articles/7-38/v1
Chrysotoxum bicinctum,"idChrBici2, idChrBici3, idChrBici1, idChrBici4",PRJEB45161,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=323313&result=taxon&taxonomy=ncbi#Chrysotoxum bicinctum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Chrysotoxum-bicinctum;https://wellcomeopenresearch.org/articles/6-321/v1
Phosphuga atrata,"icSilAtra1, icSilAtra2",PRJEB53162,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=414934&result=taxon&taxonomy=ncbi#Phosphuga atrata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Phosphuga-atrata;
Deilephila porcellus,ilDeiPorc1,PRJEB42936,Small Elephant Hawk-moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=644661&result=taxon&taxonomy=ncbi#Deilephila porcellus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Deilephila-porcellus;https://wellcomeopenresearch.org/articles/7-80/v1
Hypena proboscidalis,"ilHypProb2, ilHypProb1",PRJEB42095,Snout,Annotation Complete,https://goat.genomehubs.org/records?record_id=753189&result=taxon&taxonomy=ncbi#Hypena proboscidalis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Hypena-proboscidalis;https://wellcomeopenresearch.org/articles/6-236/v1
Vespula germanica,"iyVesGerm2, iyVesGerm1",PRJEB43736,German Wasp,Annotation Complete,https://goat.genomehubs.org/records?record_id=30212&result=taxon&taxonomy=ncbi#Vespula germanica;https://tolqc.cog.sanger.ac.uk/darwin/insects/Vespula-germanica;https://wellcomeopenresearch.org/articles/7-60/v1
Stelis phaeoptera,iyStePhae1,PRJEB52656,Plain Dark Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=2249760&result=taxon&taxonomy=ncbi#Stelis phaeoptera;https://tolqc.cog.sanger.ac.uk/darwin/insects/Stelis-phaeoptera;https://wellcomeopenresearch.org/articles/8-42/v1
Protodeltote pygarga,ilProPyga1,PRJEB51447,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=708063&result=taxon&taxonomy=ncbi#Protodeltote pygarga;https://tolqc.cog.sanger.ac.uk/darwin/insects/Protodeltote-pygarga;
Acleris emargana,"ilAclEmar2, ilAclEmar1",PRJEB48043,Notch Wing Tortix,Annotation Complete,https://goat.genomehubs.org/records?record_id=758706&result=taxon&taxonomy=ncbi#Acleris emargana;https://tolqc.cog.sanger.ac.uk/darwin/insects/Acleris-emargana;
Platycheirus albimanus,"idPlaAlba2, idPlaAlba1, idPlaAlba3, idPlaAlba4",PRJEB45149,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=414846&result=taxon&taxonomy=ncbi#Platycheirus albimanus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Platycheirus-albimanus;
Clostera curtula,ilCloCurt1,PRJEB43778,Chocolate-tip,Annotation Complete,https://goat.genomehubs.org/records?record_id=987902&result=taxon&taxonomy=ncbi#Clostera curtula;https://tolqc.cog.sanger.ac.uk/darwin/insects/Clostera-curtula;
Dolichovespula saxonica,iyDolSaxo1,PRJEB45136,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=85443&result=taxon&taxonomy=ncbi#Dolichovespula saxonica;https://tolqc.cog.sanger.ac.uk/darwin/insects/Dolichovespula-saxonica;
